store,sku,date,amount_miss_sales
4,100630105000002,2022-01-02,0
4104,100630105000002,2022-01-02,1
4123,100630105000002,2022-01-02,0
4129,100630105000002,2022-01-02,0
4133,100630105000002,2022-01-02,0
4134,100630105000002,2022-01-02,0
42,100630105000002,2022-01-02,0
43,100630105000002,2022-01-02,0
44,100630105000002,2022-01-02,0
45,100630105000002,2022-01-02,0
46,100630105000002,2022-01-02,0
47,100630105000002,2022-01-02,0
4803,100630105000002,2022-01-02,1
4805,100630105000002,2022-01-02,0
4904,100630105000002,2022-01-02,0
4906,100630105000002,2022-01-02,0
5,100630105000002,2022-01-02,0
50,100630105000002,2022-01-02,0
51,100630105000002,2022-01-02,0
52,100630105000002,2022-01-02,0
55,100630105000002,2022-01-02,0
56,100630105000002,2022-01-02,0
57,100630105000002,2022-01-02,0
61,100630105000002,2022-01-02,0
63,100630105000002,2022-01-02,0
64,100630105000002,2022-01-02,0
67,100630105000002,2022-01-02,0
68,100630105000002,2022-01-02,0
69,100630105000002,2022-01-02,2
7,100630105000002,2022-01-02,0
73,100630105000002,2022-01-02,0
74,100630105000002,2022-01-02,0
76,100630105000002,2022-01-02,1
79,100630105000002,2022-01-02,0
8,100630105000002,2022-01-02,0
81,100630105000002,2022-01-02,0
82,100630105000002,2022-01-02,1
84,100630105000002,2022-01-02,0
85,100630105000002,2022-01-02,0
88,100630105000002,2022-01-02,0
89,100630105000002,2022-01-02,0
90,100630105000002,2022-01-02,0
91,100630105000002,2022-01-02,3
95,100630105000002,2022-01-02,0
96,100630105000002,2022-01-02,1
99,100630105000002,2022-01-02,1
220,100630105000002,2022-01-02,0
225,100630105000002,2022-01-02,0
10,100630105000002,2022-01-03,0
100,100630105000002,2022-01-03,1
104,100630105000002,2022-01-03,1
105,100630105000002,2022-01-03,0
106,100630105000002,2022-01-03,0
109,100630105000002,2022-01-03,2
11,100630105000002,2022-01-03,0
114,100630105000002,2022-01-03,0
117,100630105000002,2022-01-03,0
119,100630105000002,2022-01-03,0
121,100630105000002,2022-01-03,0
122,100630105000002,2022-01-03,0
123,100630105000002,2022-01-03,0
130,100630105000002,2022-01-03,0
133,100630105000002,2022-01-03,0
135,100630105000002,2022-01-03,0
136,100630105000002,2022-01-03,0
141,100630105000002,2022-01-03,1
143,100630105000002,2022-01-03,0
144,100630105000002,2022-01-03,0
147,100630105000002,2022-01-03,0
149,100630105000002,2022-01-03,0
15,100630105000002,2022-01-03,0
150,100630105000002,2022-01-03,0
152,100630105000002,2022-01-03,0
156,100630105000002,2022-01-03,0
159,100630105000002,2022-01-03,0
160,100630105000002,2022-01-03,0
162,100630105000002,2022-01-03,0
163,100630105000002,2022-01-03,0
164,100630105000002,2022-01-03,0
166,100630105000002,2022-01-03,0
167,100630105000002,2022-01-03,0
168,100630105000002,2022-01-03,0
