store,sku,date,stock
4803,100630105000002,2020-09-06,9
4805,100630105000002,2020-09-06,10
4904,100630105000002,2020-09-06,10
4906,100630105000002,2020-09-06,19
5,100630105000002,2020-09-06,11
50,100630105000002,2020-09-06,10
51,100630105000002,2020-09-06,10
52,100630105000002,2020-09-06,6
55,100630105000002,2020-09-06,6
56,100630105000002,2020-09-06,5
57,100630105000002,2020-09-06,10
61,100630105000002,2020-09-06,5
63,100630105000002,2020-09-06,9
64,100630105000002,2020-09-06,9
67,100630105000002,2020-09-06,11
68,100630105000002,2020-09-06,9
69,100630105000002,2020-09-06,10
7,100630105000002,2020-09-06,11
73,100630105000002,2020-09-06,9
74,100630105000002,2020-09-06,5
76,100630105000002,2020-09-06,19
79,100630105000002,2020-09-06,9
8,100630105000002,2020-09-06,11
81,100630105000002,2020-09-06,6
82,100630105000002,2020-09-06,20
84,100630105000002,2020-09-06,6
85,100630105000002,2020-09-06,5
88,100630105000002,2020-09-06,10
89,100630105000002,2020-09-06,11
90,100630105000002,2020-09-06,10
91,100630105000002,2020-09-06,6
95,100630105000002,2020-09-06,9
96,100630105000002,2020-09-06,20
99,100630105000002,2020-09-06,6
220,100630105000002,2020-09-06,10
225,100630105000002,2020-09-06,10
VZ01,100630105000002,2020-09-06,2024
10,100630105000002,2020-09-07,6
100,100630105000002,2020-09-07,25
104,100630105000002,2020-09-07,9
105,100630105000002,2020-09-07,9
106,100630105000002,2020-09-07,9
109,100630105000002,2020-09-07,20
11,100630105000002,2020-09-07,20
114,100630105000002,2020-09-07,6
117,100630105000002,2020-09-07,9
119,100630105000002,2020-09-07,6
121,100630105000002,2020-09-07,9
122,100630105000002,2020-09-07,5
123,100630105000002,2020-09-07,6
130,100630105000002,2020-09-07,9
133,100630105000002,2020-09-07,10
135,100630105000002,2020-09-07,6
136,100630105000002,2020-09-07,9
141,100630105000002,2020-09-07,10
143,100630105000002,2020-09-07,20
144,100630105000002,2020-09-07,11
147,100630105000002,2020-09-07,6
149,100630105000002,2020-09-07,5
15,100630105000002,2020-09-07,10
150,100630105000002,2020-09-07,6
152,100630105000002,2020-09-07,9
156,100630105000002,2020-09-07,9
159,100630105000002,2020-09-07,9
160,100630105000002,2020-09-07,10
162,100630105000002,2020-09-07,9
163,100630105000002,2020-09-07,5
164,100630105000002,2020-09-07,11
166,100630105000002,2020-09-07,9
167,100630105000002,2020-09-07,10
168,100630105000002,2020-09-07,6
170,100630105000002,2020-09-07,6
171,100630105000002,2020-09-07,9
172,100630105000002,2020-09-07,6
173,100630105000002,2020-09-07,10
174,100630105000002,2020-09-07,6
175,100630105000002,2020-09-07,6
179,100630105000002,2020-09-07,10
18,100630105000002,2020-09-07,6
180,100630105000002,2020-09-07,9
181,100630105000002,2020-09-07,9
182,100630105000002,2020-09-07,9
183,100630105000002,2020-09-07,20
184,100630105000002,2020-09-07,6
185,100630105000002,2020-09-07,6
186,100630105000002,2020-09-07,9
188,100630105000002,2020-09-07,6
189,100630105000002,2020-09-07,6
201,100630105000002,2020-09-07,6
202,100630105000002,2020-09-07,10
203,100630105000002,2020-09-07,6
21,100630105000002,2020-09-07,9
213,100630105000002,2020-09-07,6
214,100630105000002,2020-09-07,9
215,100630105000002,2020-09-07,9
216,100630105000002,2020-09-07,6
217,100630105000002,2020-09-07,9
218,100630105000002,2020-09-07,6
219,100630105000002,2020-09-07,9
22,100630105000002,2020-09-07,10
221,100630105000002,2020-09-07,10
26,100630105000002,2020-09-07,6
27,100630105000002,2020-09-07,9
28,100630105000002,2020-09-07,5
29,100630105000002,2020-09-07,9
3,100630105000002,2020-09-07,9
3005,100630105000002,2020-09-07,10
3202,100630105000002,2020-09-07,9
3205,100630105000002,2020-09-07,9
3208,100630105000002,2020-09-07,10
3245,100630105000002,2020-09-07,5
35,100630105000002,2020-09-07,5
36,100630105000002,2020-09-07,5
37,100630105000002,2020-09-07,11
4,100630105000002,2020-09-07,9
4104,100630105000002,2020-09-07,11
4123,100630105000002,2020-09-07,10
4129,100630105000002,2020-09-07,10
4133,100630105000002,2020-09-07,9
4134,100630105000002,2020-09-07,9
42,100630105000002,2020-09-07,20
43,100630105000002,2020-09-07,6
44,100630105000002,2020-09-07,6
45,100630105000002,2020-09-07,6
46,100630105000002,2020-09-07,9
47,100630105000002,2020-09-07,10
4803,100630105000002,2020-09-07,9
4805,100630105000002,2020-09-07,10
4904,100630105000002,2020-09-07,10
4906,100630105000002,2020-09-07,19
5,100630105000002,2020-09-07,11
50,100630105000002,2020-09-07,10
51,100630105000002,2020-09-07,10
52,100630105000002,2020-09-07,6
55,100630105000002,2020-09-07,6
56,100630105000002,2020-09-07,5
57,100630105000002,2020-09-07,10
61,100630105000002,2020-09-07,5
63,100630105000002,2020-09-07,9
64,100630105000002,2020-09-07,9
67,100630105000002,2020-09-07,11
68,100630105000002,2020-09-07,9
69,100630105000002,2020-09-07,10
7,100630105000002,2020-09-07,11
73,100630105000002,2020-09-07,9
74,100630105000002,2020-09-07,5
76,100630105000002,2020-09-07,19
79,100630105000002,2020-09-07,9
8,100630105000002,2020-09-07,11
81,100630105000002,2020-09-07,6
82,100630105000002,2020-09-07,20
84,100630105000002,2020-09-07,6
85,100630105000002,2020-09-07,5
88,100630105000002,2020-09-07,10
89,100630105000002,2020-09-07,11
90,100630105000002,2020-09-07,10
91,100630105000002,2020-09-07,6
95,100630105000002,2020-09-07,9
96,100630105000002,2020-09-07,20
99,100630105000002,2020-09-07,6
220,100630105000002,2020-09-07,10
225,100630105000002,2020-09-07,10
VZ01,100630105000002,2020-09-07,2024
10,100630105000002,2020-09-08,6
100,100630105000002,2020-09-08,25
104,100630105000002,2020-09-08,9
105,100630105000002,2020-09-08,9
106,100630105000002,2020-09-08,9
109,100630105000002,2020-09-08,20
11,100630105000002,2020-09-08,20
114,100630105000002,2020-09-08,6
117,100630105000002,2020-09-08,9
119,100630105000002,2020-09-08,6
121,100630105000002,2020-09-08,9
122,100630105000002,2020-09-08,5
123,100630105000002,2020-09-08,6
130,100630105000002,2020-09-08,9
133,100630105000002,2020-09-08,10
135,100630105000002,2020-09-08,6
136,100630105000002,2020-09-08,9
141,100630105000002,2020-09-08,10
143,100630105000002,2020-09-08,20
144,100630105000002,2020-09-08,11
147,100630105000002,2020-09-08,6
149,100630105000002,2020-09-08,5
15,100630105000002,2020-09-08,10
150,100630105000002,2020-09-08,6
152,100630105000002,2020-09-08,9
156,100630105000002,2020-09-08,9
159,100630105000002,2020-09-08,9
160,100630105000002,2020-09-08,10
162,100630105000002,2020-09-08,9
163,100630105000002,2020-09-08,5
164,100630105000002,2020-09-08,11
166,100630105000002,2020-09-08,9
167,100630105000002,2020-09-08,10
168,100630105000002,2020-09-08,6
170,100630105000002,2020-09-08,6
171,100630105000002,2020-09-08,9
172,100630105000002,2020-09-08,6
173,100630105000002,2020-09-08,10
174,100630105000002,2020-09-08,6
175,100630105000002,2020-09-08,6
179,100630105000002,2020-09-08,10
18,100630105000002,2020-09-08,6
180,100630105000002,2020-09-08,9
181,100630105000002,2020-09-08,9
182,100630105000002,2020-09-08,9
183,100630105000002,2020-09-08,20
184,100630105000002,2020-09-08,6
185,100630105000002,2020-09-08,6
186,100630105000002,2020-09-08,9
188,100630105000002,2020-09-08,6
189,100630105000002,2020-09-08,6
201,100630105000002,2020-09-08,6
202,100630105000002,2020-09-08,10
203,100630105000002,2020-09-08,6
21,100630105000002,2020-09-08,9
213,100630105000002,2020-09-08,6
214,100630105000002,2020-09-08,9
215,100630105000002,2020-09-08,9
216,100630105000002,2020-09-08,6
